"Original_Applicant","Cited_Applicant","weight","distance"
"MacIntosh, Brian T.","AT&T Intellectual Property",1,1
"MacIntosh, Brian T.","Digimarc Corporation",4,0.25
"MacIntosh, Brian T.","Microsoft Co.",1,1
"MacLaurin, Matthew Bret","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"MacLellan, Scot","Microsoft Co.",1,1
"MacMillan, James M.","Intel Co.",1,1
"MacWan, Sanjay","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",4,0.25
"MacWan, Sanjay","Intel Co.",8,0.125
"MacWan, Sanjay","Microsoft Co.",4,0.25
"MacWan, Sanjay","SONY",2,0.5
"MADALINA BARTATSU","SONY",1,1
"Maddila, Baba Vidyasagar","Microsoft Co.",1,1
"Madhu, Sunil","Google Inc.",2,0.5
"Madhvanath, Sriganesh","FUJITSU LTD",1,1
"Madhvanath, Sriganesh","Intel Co.",1,1
"Madsen, Daniel L.","Apple Inc.",3,0.333333333333333
"Madsen, Daniel L.","AT&T Intellectual Property",8,0.125
"Madsen, Daniel L.","FUJITSU LTD",2,0.5
"Madsen, Daniel L.","Intel Co.",14,0.0714285714285714
"Madsen, Daniel Larry","AT&T Intellectual Property",3,0.333333333333333
"Madsen, Daniel Larry","Intel Co.",2,0.5
"Madsen, Daniel Larry","Microsoft Co.",5,0.2
"Madsen, Daniel Larry","NEC Co.",4,0.25
"MAEDA FUKIKO","SONY",1,1
"MAEDA HIROSHI","NEC Co.",2,0.5
"MAEDA TOMOJI","SONY",1,1
"MAEDA YASUYORI","FUJITSU LTD",1,1
"Maeda, Satoshi","FUJITSU LTD",2,0.5
"MAEKI TAKAHIRO","NEC Co.",1,1
"Maes, Stephane Herman","Canon",2,0.5
"Maes, Stephane Herman","FUJITSU LTD",1,1
"Maeta, Takayuki","FUJITSU LTD",5,0.2
"Maeta, Takayuki","Hitachi, Ltd.",5,0.2
"Maeta, Takayuki","LG CO.",3,0.333333333333333
"Maeta, Takayuki","NEC Co.",2,0.5
"Maev, Roman Gr.","Hitachi, Ltd.",1,1
"Maev, Roman Gr.","SONY",1,1
"Maganti, Hari Krishna","Microsoft Co.",1,1
"MAGEE PAUL","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Magendanz, Chad","SONY",1,1
"MAGERS, Thorsten Otto Wolfgang","Google Inc.",4,0.25
"Magi Shaashua, Triinu","Apple Inc.",1,1
"Magi Shaashua, Triinu","Hitachi, Ltd.",1,1
"Magi Shaashua, Triinu","Intel Co.",1,1
"Magic Leap, Inc.","Google Inc.",3,0.333333333333333
"Magix AG","Microsoft Co.",2,0.5
"Magnant, Paul H.","FUJITSU LTD",1,1
"Magnusson, Tobias","Google Inc.",1,1
"Magnusson, Tobias","Intel Co.",2,0.5
"Magnusson, Tobias","NEC Co.",2,0.5
"Mahameed, Rashed","LG CO.",1,1
"Maier, Ferdinand","Qualcomm Inc.",1,1
"Mainguet, Jean-FranC'ios","NEC Co.",1,1
"MAKIMOTO EIJI","Canon",1,1
"MAKIMOTO EIJI","Samsung",1,1
"Makimoto, Eiji","Canon",1,1
"Makimoto, Eiji","FUJITSU LTD",1,1
"Makimoto, Eiji","Hitachi, Ltd.",2,0.5
"Makimoto, Eiji","NEC Co.",2,0.5
"MAKIMOTO, EIJI","Canon",1,1
"MAKIMOTO, EIJI","FUJITSU LTD",1,1
"MAKIMOTO, EIJI","Hitachi, Ltd.",1,1
"MAKIMOTO, EIJI","NEC Co.",1,1
"Makino, Toshinori","FUJITSU LTD",2,0.5
"Makino, Toshinori","Hitachi, Ltd.",1,1
"Makino, Toshinori c/o Dai Nippon Printing Co., Ltd","FUJITSU LTD",1,1
"Makthal, Sarvesh","Hitachi, Ltd.",2,0.5
"Makthal, Sarvesh","Intel Co.",1,1
"Makthal, Sarvesh","LG CO.",12,0.0833333333333333
"Makthal, Sarvesh","Microsoft Co.",2,0.5
"MALACHI, Ronen","Intel Co.",1,1
"Malamud, Mark A.","AT&T Intellectual Property",2,0.5
"Malamud, Mark A.","FUJITSU LTD",6,0.166666666666667
"Malamud, Mark A.","Qualcomm Inc.",1,1
"Malegaonkar, Amit Sadanand","Qualcomm Inc.",1,1
"Malegaonkar, Renuka Amit","Qualcomm Inc.",1,1
"Maletsky, Kerry D.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Maletsky, Kerry D.","Intel Co.",1,1
"Malhas, Imad","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",3,0.333333333333333
"Malhas, Imad","Honeywell International Inc.",2,0.5
"Malhas, Imad","Panasonic",2,0.5
"MALHOTRA ARUN","NEC Co.",1,1
"Malhotra, Arun","NEC Co.",1,1
"Malhotra, Arun","Samsung",4,0.25
"Malik, Dale","Intel Co.",1,1
"Malkin, Peter K.","NEC Co.",2,0.5
"Mallegowda, Harisha","NEC Co.",1,1
"Mallett, Jacqueline","Intel Co.",1,1
"Mallinson, Dominic S.","Digimarc Corporation",2,0.5
"Mallinson, Dominic S.","Samsung",1,1
"Mallinson, Dominic S.","SONY",5,0.2
"Mallion, Richard","Microsoft Co.",1,1
"Maloney, Michael J.","AT&T Intellectual Property",2,0.5
"Malpani, Ambarish","FUJITSU LTD",2,0.5
"Manabe, Michitaro","FUJITSU LTD",5,0.2
"Manabe, Michitaro","Hitachi, Ltd.",5,0.2
"Manabe, Michitaro","LG CO.",3,0.333333333333333
"Manabe, Michitaro","NEC Co.",2,0.5
"MANDAL, Avradip","Hitachi, Ltd.",8,0.125
"MANDAL, Avradip","Panasonic",4,0.25
"Mandke, Sameer","Intel Co.",1,1
"Mandler, Roie","Intel Co.",1,1
"Mani, Seshadri","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Mani, Seshadri","NEC Co.",1,1
"Manickam, Swaminathan","Honeywell International Inc.",1,1
"Manico, Joseph A.","Intel Co.",1,1
"MANKOWSKI, Peter","Hitachi, Ltd.",3,0.333333333333333
"Manohar, Deepak J.","FUJITSU LTD",1,1
"Mansoor, Faisal","Microsoft Co.",1,1
"Manton, Russell Hurbert","NEC Co.",1,1
"MANZEN YOSHIHISA","Canon",1,1
"MAO FANG","SONY",1,1
"MAO QI","Hitachi, Ltd.",1,1
"MAO ZHENGANG","Samsung",1,1
"Mao, Decao","Hitachi, Ltd.",1,1
"Marasek, Krzysztof","IBM",1,1
"Marciniak, Craig A.","Apple Inc.",7,0.142857142857143
"Marciniak, Craig A.","Canon",1,1
"Marciniak, Craig A.","FUJITSU LTD",2,0.5
"Marciniak, Craig A.","Honeywell International Inc.",1,1
"Marciniak, Craig A.","Intel Co.",2,0.5
"Marciniak, Craig A.","LG CO.",3,0.333333333333333
"Marciniak, Craig A.","NEC Co.",5,0.2
"Marciniak, Craig A.","Samsung",3,0.333333333333333
"Marciniak, Craig A.","SONY",3,0.333333333333333
"Mardikar, Upendra","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",3,0.333333333333333
"Mardikar, Upendra","SONY",1,1
"Mardikar, Upendra S.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",3,0.333333333333333
"Mardikar, Upendra S.","SONY",1,1
"Margad Shivashankar, Ravishankar","NEC Co.",1,1
"MARITZEN L. MICHAEL","FUJITSU LTD",1,1
"Maritzen, L. Michael","SONY",2,0.5
"Markham, Thomas R.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Markham, Thomas R.","Honeywell International Inc.",4,0.25
"Marmigere, Gerard","Hitachi, Ltd.",1,1
"Marmigere, Gerard","Honeywell International Inc.",1,1
"Marmigere, Gerard","Microsoft Co.",1,1
"MARQUE VERTE SANTE","FUJITSU LTD",1,1
"Marschner, Stephen","Microsoft Co.",6,0.166666666666667
"Marsden, Christopher D.","Honeywell International Inc.",2,0.5
"Marsden, Christopher D.","Intel Co.",2,0.5
"MARSHALL, Andrew D.","FUJITSU LTD",3,0.333333333333333
"MARSHALL, Andrew D.","Google Inc.",1,1
"MARSHALL, Andrew D.","Microsoft Co.",2,0.5
"Marshall, John","Honeywell International Inc.",9,0.111111111111111
"Marshall, John","LG CO.",5,0.2
"Marshall, John","SONY",3,0.333333333333333
"Marshall, Vernon","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",11,0.0909090909090909
"Marshall, Vernon","NEC Co.",4,0.25
"Martella, Dean","SONY",1,1
"Marteney, Steven J.","NEC Co.",1,1
"Marthinussen, Harald","FUJITSU LTD",1,1
"Marti, Sandra","NEC Co.",1,1
"Martin, Christopher D.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Martin, Christopher D.","Honeywell International Inc.",1,1
"Martin, Jason","Apple Inc.",2,0.5
"Martin, Jason","FUJITSU LTD",1,1
"Martin, Jim F.","AT&T Intellectual Property",1,1
"Martin, Karl","SONY",4,0.25
"MARTINEZ CHRIS J.","Canon",1,1
"Martinez, Christopher James","FUJITSU LTD",1,1
"MARTINIAN EMIN","NEC Co.",1,1
"Martinian, Emin","NEC Co.",1,1
"Martino, Jacquelyn A.","Intel Co.",1,1
"Martis, Dinesh J.","Digimarc Corporation",1,1
"Martis, Dinesh J.","FUJITSU LTD",1,1
"Martis, Dinesh J.","Samsung",1,1
"MARUTA SATOSHI","FUJITSU LTD",1,1
"Marwood, David","Google Inc.",1,1
"Marzke, Rex Edward","Intel Co.",1,1
"MASON, Henry","Apple Inc.",1,1
"MASON, Henry","AT&T Intellectual Property",2,0.5
"MASON, Henry","Digimarc Corporation",1,1
"MASON, Henry","Google Inc.",3,0.333333333333333
"MASON, Henry","Intel Co.",1,1
"MASON, Henry","Microsoft Co.",3,0.333333333333333
"Mason, Stephen","Canon",2,0.5
"Mason, Stephen Archer","Canon",1,1
"Masood, Farhan","Honeywell International Inc.",3,0.333333333333333
"Massuh, Lucas","Apple Inc.",2,0.5
"Massuh, Lucas","Intel Co.",2,0.5
"Master, Aaron","Microsoft Co.",1,1
"Master, Aaron Steven","Digimarc Corporation",4,0.25
"Mastercard International Incorporated","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",7,0.142857142857143
"Mastercard International Incorporated","Canon",1,1
"Mastercard International Incorporated","FUJITSU LTD",2,0.5
"Mastercard International Incorporated","Hitachi, Ltd.",2,0.5
"Mastercard International Incorporated","Intel Co.",4,0.25
"Mastercard International Incorporated","LG CO.",1,1
"Mastercard International Incorporated","Samsung",1,1
"Masucci, Lauren Catherine","Apple Inc.",1,1
"Masucci, Lauren Catherine","Samsung",1,1
"Masuda, Makoto","FUJITSU LTD",1,1
"Masuda, Makoto","Intel Co.",1,1
"MASUDA, Makoto","FUJITSU LTD",1,1
"Masuoka, Ryusuke","Microsoft Co.",1,1
"MASUZAWA YUTAKA","SONY",1,1
"Matcovitch, Avram","Samsung",1,1
"Matey, James R.","LG CO.",1,1
"Mather, Jonathan Francis","FUJITSU LTD",6,0.166666666666667
"Mather, Jonathan Francis","Google Inc.",2,0.5
"Mather, Jonathan Francis","Intel Co.",1,1
"Mather, Jonathan Francis","Microsoft Co.",1,1
"Mather, Jonathan Francis","Panasonic",1,1
"Mather, Jonathan Francis","Qualcomm Inc.",1,1
"Mather, Jonathan Francis","Samsung",3,0.333333333333333
"Mathieu, Gilles","Honeywell International Inc.",1,1
"Mathieu, Gilles","LG CO.",2,0.5
"Mathieu, Gilles","Microsoft Co.",1,1
"Mathieu, Gilles","Panasonic",2,0.5
"MATONO HARUKI","SONY",1,1
"MATSUDA YUSUKE","SONY",1,1
"Matsuda, Kazuhisa","Canon",1,1
"Matsuda, Takahiro","FUJITSU LTD",2,0.5
"Matsuda, Yusuke","Hitachi, Ltd.",2,0.5
"Matsuda, Yusuke","NEC Co.",1,1
"Matsuda, Yusuke","Samsung",1,1
"MATSUDA, Yusuke","Hitachi, Ltd.",1,1
"MATSUDA, Yusuke","SONY",1,1
"Matsudaira, Naoto","SONY",1,1
"Matsugu, Masakazu","Canon",5,0.2
"Matsui, Tohru","Canon",1,1
"Matsui, Tohru","FUJITSU LTD",1,1
"Matsui, Tohru","Hitachi, Ltd.",1,1
"Matsui, Tohru","Honeywell International Inc.",1,1
"MATSUKAWA TATSUO","FUJITSU LTD",1,1
"MATSUKAWA TATSUO","NEC Co.",1,1
"MATSUMOTO KENJI","FUJITSU LTD",1,1
"Matsumoto, Kenji","FUJITSU LTD",1,1
"MATSUMURA TAKASHI","Canon",1,1
"MATSUMURA TAKASHI","SONY",2,0.5
"MATSUMURA YOICHI","FUJITSU LTD",1,1
"Matsumura, Kohji","LG CO.",1,1
"Matsumura, Takafumi","FUJITSU LTD",1,1
"Matsumura, Takafumi","Hitachi, Ltd.",5,0.2
"Matsumura, Takafumi","SONY",3,0.333333333333333
"Matsunaga, Jumpei","Google Inc.",1,1
"Matsunaga, Jumpei","Microsoft Co.",1,1
"MATSUNAMI TOMOAKI","FUJITSU LTD",1,1
"Matsunami, Tomoaki","FUJITSU LTD",5,0.2
"Matsunami, Tomoaki","Hitachi, Ltd.",1,1
"Matsunami, Tomoaki","SONY",2,0.5
"MATSUO HITOSHI","SONY",1,1
"MATSUO KAZUHIRO","NEC Co.",1,1
"MATSUO TAKASHI","FUJITSU LTD",1,1
"MATSUO TAKASHI","NEC Co.",1,1
"MATSUO TAKASHI","SONY",2,0.5
"Matsuo, Masaaki","FUJITSU LTD",1,1
"Matsuo, Masaaki","NEC Co.",2,0.5
"Matsuoka, Yoshio","Hitachi, Ltd.",3,0.333333333333333
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","FUJITSU LTD",5,0.2
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","LG CO.",1,1
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","Microsoft Co.",1,1
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","NEC Co.",3,0.333333333333333
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","SONY",3,0.333333333333333
"Matsushita Electric Industries Co., Ltd.","FUJITSU LTD",1,1
"Matsushita Electric Industries Co., Ltd.","NEC Co.",1,1
"MATSUSHITA MINORU","FUJITSU LTD",1,1
"MATTERN, Jeremy Keith","Honeywell International Inc.",1,1
"MATTHEW SHARIFI","FUJITSU LTD",1,1
"MATTHEWS RICHARD","Digimarc Corporation",1,1
"Matthews, Richard","Digimarc Corporation",2,0.5
"Mattice, Harold E.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",5,0.2
"Mattice, Harold E.","NEC Co.",1,1
"Mau, Sandra","Digimarc Corporation",1,1
"Mau, Sandra","Hitachi, Ltd.",2,0.5
"MAURER SOEHNE GMBH & CO. KG","Intel Co.",1,1
"Maurer, James M.","ETRI",9,0.111111111111111
"Maurer, James M.","NEC Co.",10,0.1
"Maxim Integrated Products, Inc.","FUJITSU LTD",1,1
"Mayor, Robert","Apple Inc.",1,1
"MAYUZUMI KATSUNORI","Canon",1,1
"MAZUMDAR, Monalisa","LG CO.",2,0.5
"MC<ller, Lorenz","NEC Co.",1,1
"MC<ller, Robert","Canon",1,1
"MC6dl, Albert","Canon",1,1
"McAfee, Wesley","Intel Co.",1,1
"McAlpin, John Thomas","AT&T Intellectual Property",1,1
"McBlain, Thomas Joseph","AT&T Intellectual Property",2,0.5
"McBlain, Thomas Joseph","Intel Co.",2,0.5
"McCalmont, David T.","AT&T Intellectual Property",1,1
"McCalmont, David Thompson","AT&T Intellectual Property",1,1
"McCarthy, Matthew A.","Google Inc.",1,1
"McCarthy, Matthew A.","Intel Co.",1,1
"McCarthy, Matthew A.","Microsoft Co.",2,0.5
"McCarthy, Matthew A.","Samsung",1,1
"McChesney, Gregory","Google Inc.",1,1
"McClendon, Brian","Google Inc.",2,0.5
"McCloskey, Scott","Honeywell International Inc.",4,0.25
"McCloskey, Scott","Microsoft Co.",2,0.5
"McClurg, George W","FUJITSU LTD",1,1
"McClurg, George W","NEC Co.",2,0.5
"McClurg, George W.","Honeywell International Inc.",2,0.5
"McClurg, George W.","LG CO.",1,1
"McClurg, George W.","Qualcomm Inc.",1,1
"McClurg, George William","Canon",2,0.5
"McClurg, Philip","Intel Co.",1,1
"McClurg, Philip","Microsoft Co.",1,1
"McClurg, Phillip","FUJITSU LTD",1,1
"McClurg, Phillip","Microsoft Co.",1,1
"McCLURG, Phillip","FUJITSU LTD",1,1
"McCLURG, Phillip","Intel Co.",1,1
"McCLURG, Phillip","Microsoft Co.",2,0.5
"McCobb, Gerald M.","Microsoft Co.",2,0.5
"McCoy, Mike","Canon",1,1
"McDow, Timothy S.","NEC Co.",2,0.5
"McFarland, Alan David","Digimarc Corporation",1,1
"McFarland, Alan David","FUJITSU LTD",1,1
"McFarland, Alan David","Honeywell International Inc.",1,1
"McGlade, Mark","Digimarc Corporation",1,1
"McGonagle, Michael","Honeywell International Inc.",1,1
"McGovern, Mark","SONY",1,1
"MCI, LLC","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",2,0.5
"McIntosh, Jonathan P.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"McIntyre, Joseph Herbert","AT&T Intellectual Property",6,0.166666666666667
"McKay, Sean","FUJITSU LTD",1,1
"McKay, Sean","NEC Co.",1,1
"McKinley, Tyler J.","Digimarc Corporation",1,1
"McManus, Bernard","Microsoft Co.",1,1
"McMillan, Francis Gavin","AT&T Intellectual Property",1,1
"McMillan, Scott","Microsoft Co.",1,1
"McMillan, William C.","Hitachi, Ltd.",1,1
"McMorris, III, John A.","NEC Co.",1,1
"McNamara, Brendan","Microsoft Co.",1,1
"McNamara, Jr., James J.","Digimarc Corporation",1,1
"MCNEAL JOAN TIBOR","NEC Co.",1,1
"McNeal, Joan Tibor","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"McNeal, Joan Tibor","Canon",4,0.25
"McNeal; Joan Tibor","Canon",1,1
"McNelley, Don","Microsoft Co.",1,1
"McNerney, Tim","Honeywell International Inc.",21,0.0476190476190476
"McNerney, Tim","LG CO.",6,0.166666666666667
"McNerney, Tim","SONY",6,0.166666666666667
"McNulty, Matthew S.","Qualcomm Inc.",1,1
"McNulty, Scott F.","Qualcomm Inc.",1,1
"McOwan, Peter William","AT&T Intellectual Property",1,1
"McWhinnie, Shaun","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",3,0.333333333333333
"MDI Security, LLC","Hitachi, Ltd.",3,0.333333333333333
"Medapati, Suri B.","Apple Inc.",1,1
"Medapati, Suri B.","Google Inc.",2,0.5
"Medapati, Suri B.","Samsung",1,1
"MediaTek Inc.","SONY",1,1
"Medina, Alexander A.","Intel Co.",1,1
"Medina, Alexander A.","SONY",1,1
"Meekhof, Casey","Honeywell International Inc.",1,1
"Meekhof, Casey","Microsoft Co.",2,0.5
"Mehew, Evans","Microsoft Co.",2,0.5
"Mehta, Bimal K.","Microsoft Co.",1,1
"Mehta, Raghav","NEC Co.",1,1
"MEI LIN","ETRI",1,1
"MEI LIN","Samsung",1,1
"Melachrinoudis, Stelios","Intel Co.",1,1
"Meli, Rodney P.","FUJITSU LTD",2,0.5
"Melville, Charles D.","SONY",2,0.5
"Memon, Nasir","Google Inc.",1,1
"Memphis Technologies, Inc","FUJITSU LTD",1,1
"Memphis Technologies, Inc","Honeywell International Inc.",1,1
"Menczel, Yaron","FUJITSU LTD",2,0.5
"Menczel, Yaron","Honeywell International Inc.",2,0.5
"MENG FANNA","Boe Technology Group Co.",1,1
"MENG XIZHU","Hitachi, Ltd.",1,1
"MERAN, Adam","LG CO.",1,1
"Merchan, Jorge Guajardo","Hitachi, Ltd.",1,1
"Merchan, Jorge Guajardo","Intel Co.",1,1
"Mercier, John R.","Hitachi, Ltd.",2,0.5
"Mercier, John R.","SONY",2,0.5
"MERCREDI DWAYNE","NEC Co.",1,1
"Mercredi, Dwayne","NEC Co.",2,0.5
"MEREAL BIOMETRICS","NEC Co.",2,0.5
"Meredith, Sheldon","Qualcomm Inc.",1,1
"MERKATUM CORPORATION","Hitachi, Ltd.",1,1
"Merkow, Mark S.","Digimarc Corporation",1,1
"Merkow, Mark S.","Honeywell International Inc.",1,1
"Merritt, Edward","FUJITSU LTD",1,1
"Merritt, Edward","SONY",1,1
"Merschon, Asaf","Microsoft Co.",1,1
"MESCALCHIN MARCO","NEC Co.",1,1
"Mese, John Carl","Intel Co.",1,1
"Mese, John Carl","Microsoft Co.",1,1
"Mettala, Markku","NEC Co.",1,1
"METZGER JUSTIN","FUJITSU LTD",1,1
"Metzger, Aaron R.","Honeywell International Inc.",1,1
"Metzger, Aaron R.","Intel Co.",1,1
"Metzger, Aaron R.","Microsoft Co.",1,1
"Metzger, Aaron R.","Panasonic",1,1
"Metzger, Justin","Canon",1,1
"Metzger, Justin","FUJITSU LTD",1,1
"Metzger, Justin","LG CO.",1,1
"Metzger, Justin","NEC Co.",2,0.5
"Meyer, Joel R.","Microsoft Co.",1,1
"Meyers, David W.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Meyers, David W.","Honeywell International Inc.",3,0.333333333333333
"Meyers, James David","LG CO.",1,1
"MICHAEL THIEME","FUJITSU LTD",1,1
"MICHAELIS PAUL ROLLER","SONY",1,1
"Michaelis, Paul Roller","LG CO.",3,0.333333333333333
"MICROCHIP TECHNOLOGY INC.","Google Inc.",1,1
"Microchip Technology Incorporated","Google Inc.",1,1
"Microsoft Co.","Abramovski, Igor",1,1
"Microsoft Co.","Accardi, Anthony",2,0.5
"Microsoft Co.","Accomando, Nicholas A.",2,0.5
"Microsoft Co.","Activcard Ireland Limited",2,0.5
"Microsoft Co.","Activcard Ireland, Ltd.",2,0.5
"Microsoft Co.","Adam, Hartwig",2,0.5
"Microsoft Co.","Adams, Aditha May",2,0.5
"Microsoft Co.","Adams, Hartwig",4,0.25
"Microsoft Co.","Akkermans, Antonius Hermanus Maria",1,1
"Microsoft Co.","Aktas, Christoph",1,1
"Microsoft Co.","Ali, Shirook M.",1,1
"Microsoft Co.","Altec Lansing Technologies, Inc.",1,1
"Microsoft Co.","Aly, Alaa Abdel-Hakim",1,1
"Microsoft Co.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Microsoft Co.","Andaker, Kristian L. M.",2,0.5
"Microsoft Co.","Anderson, Jr., Victor C.",2,0.5
"Microsoft Co.","Anderson, Jr.; Victor C.",2,0.5
"Microsoft Co.","Andrew, Felix Gti",3,0.333333333333333
"Microsoft Co.","Angel, Albert",1,1
"Microsoft Co.","Angel, Lesli",1,1
"Microsoft Co.","Angelo, Michael F.",1,1
"Microsoft Co.","Animetrics Inc.",2,0.5
"Microsoft Co.","Apple Computer, Inc.",2,0.5
"Microsoft Co.","Apple Inc.",1,1
"Microsoft Co.","Apple, Inc.",1,1
"Microsoft Co.","Arlaud, Christopher L.",1,1
"Microsoft Co.","ARMINGTON JOHN PHILLIP",1,1
"Microsoft Co.","ARMSTRONG THOMAS R.",1,1
"Microsoft Co.","Armstrong, Jr., James E.",1,1
"Microsoft Co.","Armstrong, Jr.; James E.",1,1
"Microsoft Co.","Arndt, Craig M.",1,1
"Microsoft Co.","Arnouse, Michael",1,1
"Microsoft Co.","Asadi, Ayman O.",1,1
"Microsoft Co.","Asmuth, Jane C.",1,1
"Microsoft Co.","Asmuth, Jane Circle",1,1
"Microsoft Co.","Asukai, Masamichi",1,1
"Microsoft Co.","AT&T Intellectual Property",1,1
"Microsoft Co.","Ayyagari, Arun",2,0.5
"Microsoft Co.","Azar, Cyrus",8,0.125
"Microsoft Co.","B.E.S.T. Labs, Inc.",1,1
"Microsoft Co.","Bae, Kwang-hyuk",1,1
"Microsoft Co.","Bahl, Paramvir",1,1
"Microsoft Co.","Baird, III, Leemon C.",1,1
"Microsoft Co.","Baird, III; Leemon C.",1,1
"Microsoft Co.","Bakhoum, Ezzat G.",1,1
"Microsoft Co.","Bakhoum; Ezzat G.",1,1
"Microsoft Co.","Bala, Srinivas",1,1
"Microsoft Co.","Bally Gaming, Inc.",1,1
"Microsoft Co.","Balram, Nikhil",1,1
"Microsoft Co.","Baltatu, Madalina",2,0.5
"Microsoft Co.","Bareis, Bernard F.",1,1
"Microsoft Co.","Barkley, Warren V.",2,0.5
"Microsoft Co.","Baron, Andrew Thomas",2,0.5
"Microsoft Co.","Bartlett, Marian S.",2,0.5
"Microsoft Co.","Barton, Gary",2,0.5
"Microsoft Co.","Barzilay, Ziv",1,1
"Microsoft Co.","BARZILAY, Ziv .",3,0.333333333333333
"Microsoft Co.","Bashir, Faisal",3,0.333333333333333
"Microsoft Co.","Bauchot, Frederic",1,1
"Microsoft Co.","Bazakos, Michael E.",2,0.5
"Microsoft Co.","Bear, Eric Gould",2,0.5
"Microsoft Co.","Beernink, Ernest H.",1,1
"Microsoft Co.","Behaviometrics AB",1,1
"Microsoft Co.","Belin, Stephen A.",1,1
"Microsoft Co.","Bell Atlantic Network Services, Inc.",1,1
"Microsoft Co.","Belrose, Guillaume",1,1
"Microsoft Co.","Ben Ayed, Mourad",1,1
"Microsoft Co.","Benjamin, Henry",4,0.25
"Microsoft Co.","Bennett, Diallo I.",1,1
"Microsoft Co.","Bennett, Richard",2,0.5
"Microsoft Co.","Berson, William",2,0.5
"Microsoft Co.","Berstis, Viktors",1,1
"Microsoft Co.","Betser, Michael Abraham",1,1
"Microsoft Co.","Beyabani, Syed Zafar",1,1
"Microsoft Co.","Beyda, William J.",2,0.5
"Microsoft Co.","Bhagavathy, Sitaram",1,1
"Microsoft Co.","Bhogal, Kulvir S.",4,0.25
"Microsoft Co.","Bianchini, Kevin J.",2,0.5
"Microsoft Co.","Bianco, Peter Garrett",1,1
"Microsoft Co.","Bigioi, Petronel",2,0.5
"Microsoft Co.","Biometric Solutions, LLC",1,1
"Microsoft Co.","BioNetrix Systems Corporation",1,1
"Microsoft Co.","Bishop, Fred",1,1
"Microsoft Co.","Biswas, Mainak",1,1
"Microsoft Co.","Bjorn, Vance",2,0.5
"Microsoft Co.","Black, Gerald R.",4,0.25
"Microsoft Co.","Black; Gerald R.",4,0.25
"Microsoft Co.","BlackBerry Limited",1,1
"Microsoft Co.","Blakley, Daniel R.",1,1
"Microsoft Co.","Blattner, George W.",3,0.333333333333333
"Microsoft Co.","Bloom, Jeffrey A.",1,1
"Microsoft Co.","Bloomberg Finance L.P.",1,1
"Microsoft Co.","Bloomberg, Michael R.",1,1
"Microsoft Co.","Blum, Jeff",2,0.5
"Microsoft Co.","Board of Regents of the University of Washington",2,0.5
"Microsoft Co.","Bober, Miroslaw",2,0.5
"Microsoft Co.","Bodik, Peter",1,1
"Microsoft Co.","Bohn, David D.",4,0.25
"Microsoft Co.","Bolgarov, Oleksiy",1,1
"Microsoft Co.","Bolin, Mark R.",1,1
"Microsoft Co.","Bolle, Rudolf M.",3,0.333333333333333
"Microsoft Co.","Bolle, Rudolf Maarten",1,1
"Microsoft Co.","BOLYUKH, Olena",1,1
"Microsoft Co.","Bolyukh, Yuriy",1,1
"Microsoft Co.","Bonalle, David S",1,1
"Microsoft Co.","Boon, William Taylor",1,1
"Microsoft Co.","Borenstein, Eran",1,1
"Microsoft Co.","Bortolussi, Jay F.",1,1
"Microsoft Co.","BOULT, TERRANCE",1,1
"Microsoft Co.","Boult, Terrance E.",1,1
"Microsoft Co.","Boult, Terrance Edward",2,0.5
"Microsoft Co.","Bozinovic, Radmilo",1,1
"Microsoft Co.","Brady, James",2,0.5
