"Original_Applicant","Cited_Applicant","weight","distance"
"Al-Telmissani, Essam A.","FUJITSU LTD",1,1
"Al-Telmissani, Essam A.","Intel Co.",1,1
"Al-Telmissani, Essam A.","Microsoft Co.",1,1
"Alajlan, Naif","LG CO.",1,1
"Alameh, Rachid M","Apple Inc.",1,1
"Alameh, Rachid M","NEC Co.",1,1
"Alameh, Rachid M","Qualcomm Inc.",1,1
"Alameh, Rachid M","Samsung",1,1
"Alameh, Rachid M","SONY",1,1
"Alameh, Rachid M.","Apple Inc.",1,1
"Alameh, Rachid M.","Canon",1,1
"Alameh, Rachid M.","FUJITSU LTD",2,0.5
"Alameh, Rachid M.","Google Inc.",1,1
"Alameh, Rachid M.","Honeywell International Inc.",1,1
"Alameh, Rachid M.","LG CO.",2,0.5
"Alameh, Rachid M.","NEC Co.",3,0.333333333333333
"Alameh, Rachid M.","Qualcomm Inc.",1,1
"Alameh, Rachid M.","Samsung",3,0.333333333333333
"Alattar, Adnan M.","Canon",1,1
"Alattar, Adnan M.","Digimarc Corporation",3,0.333333333333333
"ALBURY RICHARD","Qualcomm Inc.",1,1
"ALBURY, RICHARD FRANKLIN","Qualcomm Inc.",1,1
"ALBURY, RICHARD FRANKLIN","Samsung",1,1
"Alcatel Lucent","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Alcatel Lucent","Apple Inc.",2,0.5
"Alcatel Lucent","Intel Co.",1,1
"Alclear LLC","Hitachi, Ltd.",1,1
"Alcohol Monitoring Systems, Inc.","Apple Inc.",1,1
"Alcohol Monitoring Systems, Inc.","Google Inc.",2,0.5
"Alderucci, Dean P.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Aley-Raz, Almog","FUJITSU LTD",1,1
"Aley-Raz, Almog","Intel Co.",3,0.333333333333333
"Algazi, Allan Stuart","Canon",2,0.5
"Algazi, Allan Stuart","NEC Co.",3,0.333333333333333
"Algiene, Ken","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Algiene, Ken","FUJITSU LTD",1,1
"ALI SHIROOK M","Microsoft Co.",1,1
"ALI SHIROOK M","Qualcomm Inc.",1,1
"Ali, Shirook M.","Microsoft Co.",1,1
"Ali, Shirook M.","Qualcomm Inc.",1,1
"Alibaba Group Holding Limited","Canon",1,1
"Alibaba Group Holding Limited","FUJITSU LTD",8,0.125
"Alibaba Group Holding Limited","Hitachi, Ltd.",2,0.5
"Alibaba Group Holding Limited","Intel Co.",2,0.5
"Alibaba Group Holding Limited","Microsoft Co.",1,1
"Aliphcom","Apple Inc.",1,1
"Aliphcom","SONY",2,0.5
"Alisuag, Cora","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"ALITHEON, INC.","NEC Co.",1,1
"Allen, Douglas","Google Inc.",1,1
"Allen, Jeffrey G.","Hitachi, Ltd.",1,1
"Allen, Josef","Honeywell International Inc.",3,0.333333333333333
"Allen, Tony John","Microsoft Co.",1,1
"Allison, JR., Thayer S.","FUJITSU LTD",1,1
"Allison, JR., Thayer S.","Samsung",1,1
"Allouche, Cyril","NEC Co.",1,1
"ALPHA CORP","Hitachi, Ltd.",1,1
"ALPS ELECTRIC CO LTD","FUJITSU LTD",1,1
"Altek Corporation","Canon",1,1
"Alten, Brett","Apple Inc.",1,1
"Alten, Brett","LG CO.",2,0.5
"Alten, Brett","NEC Co.",1,1
"Altmann, Andres Claudio","Microsoft Co.",1,1
"Alturi, Neela R.","Intel Co.",1,1
"Aly, Alaa Abdel-Hakim","Intel Co.",2,0.5
"Aly, Alaa Abdel-Hakim","Microsoft Co.",1,1
"AMAGAI SATOSHI","NEC Co.",1,1
"Amagai, Satoshi","NEC Co.",1,1
"Amamoto, Naohiro","Intel Co.",1,1
"AMANO KAZUHIKO","Canon",1,1
"AMANO KAZUHIKO","SONY",2,0.5
"Amano, Kazuhiko","Hitachi, Ltd.",2,0.5
"Amantea, Robert","LG CO.",1,1
